Market Name,Address Line 1,City,Zip,Market Link,Operation Hours,Operation Season,Latitude,Longitude
Altamont Farmers' Market,181 Main Street,Altamont,12009,http://nfmd.org/ny/altamont/1004383/,"Mon, Tue, Thu, Fri  11am-6pm, Sat/Sun  10am-2pm",July 1-October 1,42.70149,-74.03254
Altamont Orchards Farm Stand,6654 Dunnsville Road,Altamont,12009,http://www.altamontorchards.com,Daily  9:30am-5pm,August 27-December 24,42.720708,-74.01624
CDPHP Farmers' Market,500 Patroon Creek Bvld.,Albany,12206,http://www.cdphp.com,Thursday  11am-1:30pm,May 26-October 13,42.68418,-73.80587
Colonie Crossings Farmers' Market,580 Albany Shaker Rd,Colonie,12211,http://www.colonie.org,Saturday  9am-1pm,May 21-October 1,42.71016,-73.78029
Cook Park Farmers' Market,3 Sharon drive,Colonie,12205,http://www.cookparkfarmersmarket.com,Thursday  4pm-7pm,May 12-October 13,42.70742,-73.83453
Delaware Community Farmers' Market,331 Delaware Ave,Albany,12209,,"Jun-Sept: Tues 4p-7p, Oct-Nov: Tues 3p-6p",June 21-November 15,42.64305,-73.77824
Delmar Saturday Farmers' Market,332 Kenwood Avenue,Delmar,12054,http://www.delmarmarket.org,Saturday  9am-1pm,May 7-December 17,42.6212,-73.82577
Delmar Tuesday Farmers' Market,428 Kenwood Ave,Delmar,12054,http://www.cdfm518.com,Tuesday  2:30pm-6pm,May 3-November 22,42.62298,-73.83623
Downtown Albany Farmers' Market,353 Broadway,Albany,12207,http://www.cdfma518.com,Thursday  10am-2pm,Year-round,42.64847,-73.75012
Empire State Plaza Friday Farmers' Market,170 State St,Albany,12210,http://www.ogs.ny.gov,Friday  10am-2pm,May 4-October 14,42.65162,-73.75692
Empire State Plaza Wed Farmers' Market,170 State St,Albany,12210,http://www.ogs.ny.gov,Wednesday  10am-2pm,Year-round,42.65068,-73.758
Farm to Preschool III Farmers' Market,22-40 Remsen Street,Cohoes,12047,http://www.cdcccc.org,Mon  2:30pm-5:30pm,June 13-September 26,42.7756,-73.70149
Harriman State Campus Farmers' Market,1366 Washington Ave.,Albany,12203,http://www.ogs.ny.gov,Thursday  10am-2pm,May 5-October 13,42.678038,-73.809942
New Covenant Farmers' Market,916 Western Ave,Albany,12203,https://www.facebook.com/NewCovenantFarmersMarket/,Tuesday  3pm-6pm,May 24-October 4,42.67228,-73.81026
South End Farmers' Market,Eagle St and Morton Ave,Albany,12202,,Saturday  12pm-4pm,July 9-October 8,42.64326,-73.76304
Veggie Mobile-Arbor Hill/West Hill,Henry Johnson Boulevard and 2nd Street,Albany,12210,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,42.66226,-73.76013
Veggie Mobile-Center for Disability,646 South Pearl Street,Albany,12202,http://www.capitalroots.org,Tue 12:15pm-1pm,Year-round,42.63003,-73.76585
Veggie Mobile-Cohoes Senior Ctr,100 Cayuga Plaza,Cohoes,12047,http://www.capitalroots.org,Wednesday 3pm-4pm,Year-round,42.77712,-73.70101
Veggie Mobile-Creighton Storey,158 3rd Street,Albany,12210,http://www.capitalroots.org,Thu 5pm-5:45pm,Year-round,42.66205,-73.7578
Veggie Mobile-Howe Library,Schuyler St and Broad Street,Albany,12202,http://www.capitalroots.org,Tue 3pm-3:45pm,Year-round,42.64112,-73.75802
Veggie Mobile-Koinonia Primary Care,533 Clinton Avenue,Albany,12206,http://www.capitalroots.org,Tue 2pm-2:45pm,Year-round,42.66508,-73.76804
Veggie Mobile-Lincoln Square,3 Lincoln Square,Albany,12202,http://www.capitalroots.org,Mon 5pm-5:45pm,Year-round,42.6428,-73.76118
Veggie Mobile-N. Albany YMCA,616 North Pearl Street,Albany,12204,http://www.capitalroots.org,Wed 4:45pm-5:45pm,Year-round,42.67368,-73.73953
Veggie Mobile-Robert Whalen,305 Colonie Street,Albany,12210,http://www.capitalroots.org,Wed 11:15am-12pm,Year-round,42.66338,-73.75595
Veggie Mobile-South Mall Towers,101 South Pearl Street,Albany,12207,http://www.capitalroots.org,Fri  11am-12:15pm,Year-round,42.6465,-73.75482
Veggie Mobile-St. Sophia Church,440 Whitehall Road,Albany,12208,http://www.capitalroots.org,Thu 12:15pm-1pm,Year-round,42.65197,-73.81477
Veggie Mobile-St. Sophia's,440 Whitehall Road,Albany,12208,http://www.capitalroots.org,Wed 12:15pm-1pm,Year-round,42.65244,-73.81416
Veggie Mobile-Steamboat Square Apts,20 Rensselaer Street,Albany,12202,http://www.capitalroots.org,Wed 11am-11:45am,Year-round,42.64093,-73.75363
Veggie Mobile-Thurlow Terrace,2 Thurlow Terrace,Albany,12203,http://www.capitalroots.org,Wed 12pm-1pm,Year-round,42.66032,-73.77248
Veggie Mobile-Whitney Young Health Ctr,920 Lark Drive,Albany,12210,http://www.capitalroots.org,Tue 11am-12pm,Year-round,42.66215,-73.74859
